Manufacturer,Model,Box type,Weight (lbs),Overall length (cm),Wheelbase (cm),Front wheel size (in),Rear wheel size (in),Box height (base to top of walls),Box length (cm),Box width (back),Box width (midpoint),Box width (front),Max Payload incl. Driver (kg),Box Capacity (kg),,
Chike,Cargo,,,185,,,,,94,72,72,72,,,,
Muli Cycles,Muli,Foldable box,,198,,16,20,,50-61,28-60,28-60,28-60,195.0,75,,
Muli,st,box folded out,,198,151,16,20,38.7,50.8-61,30.6-55,,,195,70,,
Riese and Muller,Carrie,,,209,155,20(?),20(?),,,,,,200.0,,,
Riese und Müller,Carrie ,Flex box (folded out),from 34.4kg,209,155,20,20,,45,30bottom to 65top,,,200.0,80,,
Virtue,Schoolbus,Plywood box,126.5,214,,,,54,94,59,59,59,,115,,
Douze,V2 - 40,,,223,,20,26,,,,,,,,,
Riese and Muller,Packster 40,Wooden box,2222,223,,20,26,,,,,,,,,
Riese and Muller,Packster 40,Carry system,,223,166,20,26,,42,,,,,,,
Bakfiets.nl,Cargobike Short,n/a,,225,,,,40,43,63,,45,,,,
Madsen,Bucket Bike,Plastic Bucket,90,231,,26,20,111,91,68,69,68,,,,
Bullitt,,Badger 2 kid,,243,,20,26,,61,61,,,,,,
Bullitt,,Badger 3 kid,,243,,20,26,,,76,,,,,,
Douze,V2 - 60,,,243,,20,26,,,,,,,,,
,,Larry vs Harry,23kg,243,,20,26,,71,44,,,,,,
Riese and Muller,Packster 60,Basis box,,244,,20,27.5,,60,67,,,,,,
Riese and Muller,Packster 60,Kid box,,244,185.5,20,27.5,,The box is designed to handle a max. load of 80 kg and has a capacity of 230 litres.,67,,,,,,
Riese und Müller ,Transporter2 65,kids box,45,244,186,20,26,,67,65,,61,220.0,100,,
Riese and Muller,Load 60,No kid seat,,246,182.5,20,26,,,,,,,,,
Riese and Muller,Load 60,w/ Kid seat,,248,184,20,26,,57,47,,,,,,
Triobike ,Cargo,,50.7,250,,20,26,,72-83,50-66,50-66,50-66,230,,,
Bakfiets.nl,Cargobike Long,n/a,,255,,,,40,72,63,,45,,,,
Yuba,Supermarche,Bamboo Box,,259,206,20,20,,,,,,,,,a
Urban Arrow,Family,EPP (Expanded Polypropylene),,260,197,20,26,,65,52,,,250.0,125,,
CETMA,Cargo (2017 version - no longer made in any other lengths),Wooden box,,262,,20,26,38,60,65.5,64,62,,,,
Douze,V2 - 80,,,263,,20,26,,,,,,,,,
Riese and Muller,Load 75,w/ Kid seat,,264.5,200.5,20,26,,,,,,,,,
Metrofiets,n/a,Standard passenger,,269,206,24,26,43,84,66,,53,,,,
Riese and Muller,Packster 80,Kid box,,270,207.5,20,27.5,,74,66,,,,,,
Riese and Muller,Packster 80,Basis box,34kg,270,,20,27.5,,,,,,,66,,
Douze,G4,,,271,,20,26,,,,,,,,,
Argo Cargo Kit,1.0 (2018),Plywood box,,274,varies,20,26,,76,55,,45,,,,
Triobike ,,,74.3,274,,20,26,,107,66,50-66,50-66,230,,,
triobikeus,Kr8,,,,,,,,69,,47,,,,,
,Long-André,,,,,,,,,,,,,,,